cli_id,cli_nome,cli_email,cli_total_pedidos
1,"Lara Santos",lara@email.com,286.11
2,"Miguel Pereira",miguel@email.com,149.18
3,"Lúcia Rodrigues",lucia@email.com,232.85
4,"Tiago Silva",tiago@email.com,64.10
5,"Beatriz Gomes",beatriz@email.com,133.07
6,"Raul Alves",raul@email.com,651.03
7,"Eva Fernandes",eva@email.com,543.73
8,"César Oliveira",cesar@email.com,382.20
9,"Luana Sousa",luana@email.com,928.03
10,"Bruno Martins",bruno@email.com,0.00
11,"Nina Costa",nina@email.com,684.38
12,"Gustavo Moreira",gustavo@email.com,0.00
13,"Sara Lima",sara@email.com,648.76
14,"Hugo Ribeiro",hugo@email.com,287.82
15,"Clara Soares",clara@email.com,0.00
